longitude,latitude,Altitude,Precipitation,Average Temperature,Lowest Temperature,Highest Temperature,pH,TN,SOC,depth,mineral_N quantity,organic_N quantity,optimized_n2o,original_n2o,reduction,reduction_percent,Altitude_change_percent,Precipitation_change_percent,Average Temperature_change_percent,Lowest Temperature_change_percent,Highest Temperature_change_percent,pH_change_percent,TN_change_percent,SOC_change_percent,depth_change_percent,mineral_N quantity_change_percent,organic_N quantity_change_percent
119.08,31.58,116.60000000000001,1305.0372163823938,15.778114642400922,0.08800000000000001,9.317000000000002,4.7576270951425625,3.5200000000000005,1.9260000000000002,9,495.00000000000006,0,13.840003186880839,17.3,3.4599968131191616,19.999981578723478,9.999999999990573,9.482987951542308,-4.951116612,9.99999998750001,9.99999999988195,5.725046558596389,9.999999999687509,-10,-10,9.999999999997792,0
119.57,22.22,46.55500292465965,1433.3148714594665,23.400000000000002,2.859213415478355,34.68122154471101,5.088765051413335,1.044,1.2566880231935427,4.504618285480556,235.32599633829366,0,2.2320002747085326,2.79,0.5579997252914675,19.99999015381604,1.2065280970835655,0.512964337970969,-10,9.969746748784038,9.959484922958305,5.576038410949357,-9.999999999,9.946458721224513,-9.90763429,4.589331705906256,0
119.03,31.21,75.42,1041.3,14.898093097696972,-12.067,41.805952252452336,4.8253316160199775,0.8123208139504169,0.9122073749682685,19.27937140948339,88,0,3.392009752300014,4.24,0.8479902476999861,19.9997699929242,-10,-10,-6.301301272,-10,7.553260232685323,-7.20516123,1.5401017436095925,-5.21536004,-3.603142953,9.9999999999875,0
113.2,28.35,114.28695685338873,1608.3967789580756,15.580298683055574,1.0667370807766026,30.332859041078613,3.866984047799242,0.7323866086938463,0.8643716700275326,9.131587682475043,333.1672701936752,95.11377039874455,9.040000883828267,11.3,2.259999116171734,19.99999217851092,8.844720812742748,3.9418882614754813,-9.94047004,-1.228048076,-4.222105964,-7.043652697,3.1530434775624365,-8.725272435,-8.684123175,-3.429776755,-9.415456763
110.43,32.07,396,1005.4000000000001,15.620000000000001,-2.893,31.691000000000003,4.86,1.242,1.161,9,0,405,16.72021151603085,20.69,3.9697884839691504,19.18699122266385,-10,9.999999999998915,9.99999999992959,-10,9.999999999965304,-10,-9.999999999,-9.999999999,-10,0,-10
113.201,28.35,101.31744519926382,1666.5000000000002,19.100174118675515,0.7116239167762208,31.370275258893574,3.744,0.8140000000000001,0.9462581298301111,11,330.67974492880535,94.5,6.9360000564573765,8.67,1.7339999435426234,19.999999348819188,-3.507195048,9.999999999999355,9.143852106664978,4.650575995819148,3.056094805816416,-10,9.999999998648658,-1.942162712,10,-4.150798571,-10
119.57,22.22,46,1426,26,2.6,31.54,4.82,1.16,1.143,0,0,0,1.21,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0
119.08,31.58,106,1018,16.8,0.16,8.06,4.5,3.2,2.14,10,450,0,6.94,6.94,0,0,0,0,0,0,0,0,0,0,0,0,0
113.19,28.32,100,1330,17.5,-0.96,35.09,4.5,0.86,1.11,10,300,0,15.2,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0
119.08,31.58,109.166202974124,1111.7877478528465,15.722526113331325,0.07667303649569522,8.198309313,4.696304252947054,3.082137183437644,2.1440832374304417,0,0,0,5.992007467750988,7.49,1.497992532249012,19.999900297049557,2.9869839378500167,-6.729215784,-5.285987269,-4.158704375,-3.207682252,4.362316732059815,-3.683213017,0.1908054873948964,0,0,0
113.19,28.32,101,1718,17.5,3.54,33.75,4.21,0.4,0.884,0,0,0,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
119.57,22.22,42.22603607258814,1283.4,26.601486825747305,6.435260205094721,29.475,4.98966926625208,0.2945126953503171,3.5277949807767746,0,0,0,0.9600011046855377,1.2,0.23999889531446228,19.999907942871857,-8.204269407,-10,2.313410868249967,-6.870329883,-10,2.879778685550529,-1.829101549,-4.395799979,0,0,0
113.2,28.35,105,1726,17.4,0.54,31.84,4.16,0.71,0.947,10,345,105,19.7,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0
113.201,28.35,105,1515,17.5,2.18,29.08,4.16,0.74,0.965,20,345,105,5.89,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0
138.08,34.48,146.70000000000002,1997.9597641790645,15.665239268603846,4.248,28.721,3.74,0.63,1.078,16.5,561,0,11.840013860755175,14.8,2.959986139244826,19.999906346248824,-10,-3.340117843,-3.300992169,-10,9.999999999961704,9.999999999705892,-9.999999999,9.9999999989796,9.999999999933333,9.999999999998039,0
119.57,22.22,41.4,1447.5172761127337,27.490470676357564,2.8600000000000003,32.81086393057058,4.797896199400808,1.276,1.0287,5.5,0,205.9672781246688,1.6080111802338646,2.01,0.4019888197661352,19.999443769459464,-10,1.5089253935997347,5.732579524430121,9.999999999615392,4.029372005600976,-0.458585075,9.99999999913794,-9.999999999,10,0,-8.4589875
119.03,31.21,77.4,1168.0582435907104,17.490000000000002,-12.067,41.62353681911936,4.9207603253225685,1.1700000000000002,1.45002,18.528582027591035,72,0,2.648000210052328,3.31,0.661999789947672,19.999993654008215,-10,0.9557686768115328,9.999999999937117,-10,7.083964031675527,-5.369993744,-9.999999999,9.999999999241393,-7.357089862,-10,0
119.14,31.97,106,1006,16.2,0.1,32.53,4.5,3.2,2.14,20,450,0,36.4,36.4,0,0,0,0,0,0,0,0,0,0,0,0,0
113.19,28.32,101,1403,17.5,1.46,36.04,4.64,0.35,0.803,0,0,0,8.3,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0
110.43,32.07,396.90000000000003,817.8390051675897,14.952786178553216,-3.454,30.206000000000003,4.559001774042671,1.35,1.4960000000000002,0,0,0,4.960000014249607,6.2,1.2399999857503934,19.999999770167634,-10,1.721269299451238,0.35426965471719274,-10,9.999999999963592,-8.819964519,-9.999999999,9.999999999264714,0,0,0
119.57,22.22,41.4,1283.4,28.6,6.219,33.37755567080974,4.365,0.27,3.8386823813134723,4.5,202.5,0,2.2240011682064447,2.78,0.5559988317935551,19.99995797818544,-10,-10,9.999999999961545,-10,1.9162005215506106,-10,-9.999999997,4.029332826814174,-10,-10,0
119.27,31.92,1.8,917.1,16.42106127925477,-7.348,39.787000000000006,4.212214455988873,2.607206146183297,2.550980222715179,9.031528827228891,165,0,3.8000009258942127,4.75,0.9499990741057873,19.99998050749026,-9.999999999,-10,5.9423308338633944,-10,9.999999999972363,-4.267853273,4.288245847160357,5.849801772171339,-9.684711728,9.999999999993333,0
139.34,35.8,38,814,14.3,13.69,34.52,3.63,11,1.176,15,0,450,3.93,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0
119.46,31.14,41.800000000000004,1146.4384691888279,15.924740669110124,3.555,32.15303892961742,4.788826763387556,1.2788094466848143,1.7620724417650822,19.581738462601482,0,0,6.384012802054082,7.98,1.5959871979459184,19.999839573257123,9.999999999973696,-2.596561666,1.4314692299916745,-10,0.698524677784921,2.9855217932165634,-7.33264879,2.4460721955020994,-2.091307687,0,0
110.43,32.07,485.1,979.0000000000001,14.407787806038726,-2.31,25.272,5.259236190214149,1.35,1.4408390328699627,9.145876690482595,0,495.00000000000006,22.480000334726782,28.1,5.61999966527322,19.999998808801493,9.999999999997739,9.99999999999889,-1.316521876,-10,-10,5.184723804179284,-9.999999999,5.944046534119014,-8.541233095,0,9.999999999997792
114.21,29.02,30,1577.4,17.1,4.76,25,4.51,1.27,2.06,10,300,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0
113.201,28.35,94.5,1596.9074881994907,19.25,0.738,37.092,4.115209832684183,0.8140000000000001,1.0615,18.350044076905444,310.5,94.5,8.072000958293447,10.09,2.0179990417065525,19.99999050254264,-10,5.406434864652493,9.999999999942858,-9.999999999,9.999999999970344,-1.076686714,9.999999998648658,9.999999998963744,-8.249779615,-10,-10
113.201,28.35,104.5670967132095,1607.8319385059328,18.84125109767926,0.902,34.41509175819451,3.7590383638092013,0.7100843516070532,1.0390010612410234,11,311.52752449801716,94.5,6.776002316099831,8.47,1.6939976839001698,19.999972655255842,-0.412288845,6.127520693460509,7.664291986694844,9.999999998780497,2.0613634584592124,-9.63850087,-4.042655188,7.668503754751808,10,-9.702166812,-10
113.19,28.32,90.9,1297.8836548801542,19.25,1.3911808531821204,39.644000000000005,4.149,0.385,0.7227,11,270,0,3.200000106108532,4,0.7999998938914681,19.9999973472867,-10,-7.492255532,9.999999999942858,-4.713640193,9.99999999997227,-10,9.999999997142867,-9.999999999,10,-10,0
113.19,28.32,101,1871,17.5,0.42,27.92,4.46,0.37,0.866,0,0,0,5.3,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0
120.09,30.14,15,1579,17.3,5.8,29.6,3.32,3.8,3.93,20,900,0,30.93,30.93,0,0,0,0,0,0,0,0,0,0,0,0,0
113.2,28.35,94.5,1576.3000000000002,18.098870575380058,1.1880000000000002,32.80364093582192,3.984545877176321,0.6930000000000001,0.8838,9,310.5,94.5,7.136000670116527,8.92,1.783999329883473,19.99999248748288,-10,9.999999999999314,4.617748990609478,9.999999999074083,3.579541950799925,-4.217647183,-9.999999999,-9.999999999,-10,-10,-10
119.27,31.92,1.885592046838042,1046.326655623631,14.114453530626351,-7.348,33.406418895754214,4.057064035245539,2.340880238345503,2.427142032118168,0,0,0,1.4880003572301792,1.86,0.3719996427698209,19.999980794076393,-5.720397658,2.6817130150763844,-8.93900948,-10,-7.64053388,-7.793999199,-6.364790466,0.7112876397284899,0,0,0
113.19,28.32,101,1871,17.5,0.42,27.92,4.46,0.37,0.866,10,300,0,3.24,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0
119.57,22.22,41.4,1568.6000000000001,28.6,6.219,36.025000000000006,4.365,0.27,3.321,4.5,405,0,3.8632630588952317,4.5,0.6367369411047683,14.149709802328184,-10,9.999999999999307,9.999999999961545,-10,9.999999999969482,-10,-9.999999997,-10,-10,-10,0
139.34,35.8,34.2,895.4000000000001,15.730000000000002,12.321,37.97200000000001,3.267,9.9,1.0584,0,0,0,0.7885728070366795,0.8,0.01142719296332051,1.4283991204150637,-10,9.999999999998781,9.99999999993008,-10,9.999999999971045,-10,-10,-9.999999999,0,0,0
113.201,28.35,105,1515,17.5,2.18,29.08,4.16,0.74,0.965,10,345,105,5.83,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0
119.14,31.97,95.4,1225.3704621810155,19.14,4.3740000000000006,35.18688935415438,4.252275756111537,2.8800000000000003,2.083462566123417,18.817271616023504,405,0,9.81601917084829,12.27,2.4539808291517105,19.99984375836765,-10,-0.051348925,9.999999999942542,-10,-4.92599472,-5.504983197,-10,-2.641936162,-5.91364192,-10,0
113.2,28.35,82.05359666822645,1670.5422175909644,18.547428890776526,2.343,33.20761493506069,3.8692552342371065,0.621,0.8262,9,310.5,115.50000000000001,7.1840018465991795,8.98,1.795998153400821,19.999979436534755,-5.685521071,4.278540423905124,5.383118697563305,9.999999999530521,0.4161322499554681,-6.313432585,-9.999999999,-9.999999999,-10,-10,9.99999999999049
113.2,28.35,115.50000000000001,1676.4213227670264,19.028078800967062,1.0077824669091084,34.81061394878136,3.744,0.781,1.0417,9,132,115.50000000000001,4.536003515119781,5.67,1.1339964848802193,19.999938004942138,9.99999999999049,8.337942533735164,9.988894803220074,-6.686808619,9.91668439776268,-10,9.999999998591559,9.999999998944046,-10,9.999999999991667,9.99999999999049
113.201,28.35,105,1515,17.5,0.68,30.44,4.16,0.74,0.965,20,345,105,6.96,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0
114.21,29.02,27,1631.7795797416325,18.810000000000002,4.284,23.196797671196574,3.9960000000000004,1.233,2.178,9,270,0,6.624000602779234,8.28,1.6559993972207652,19.999992720057552,-10,3.447418520453209,9.999999999941526,-10,-7.212809315,-10,-9.999999999,-10,-10,-10,0
113.2,28.35,109.51273513005708,1792.0608984822823,18.190653952508722,1.1335429086411535,33.19508110516135,3.759925773836609,0.7808349162068868,1.0252642312149238,9.908970261486024,132,94.5,4.720002473639532,5.9,1.1799975263604683,19.99995807390624,4.29784298100265,-2.499407047,2.7720562288471786,4.957676725573679,3.929496259102753,-9.617168898,9.976748760128187,8.264438353395928,-0.910297385,9.999999999991667,-10
119.14,31.97,106,1226,17.4,4.86,37.01,4.5,3.2,2.14,0,0,0,9.72,9.72,0,0,0,0,0,0,0,0,0,0,0,0,0
113.19,28.32,110.00000000000001,1463.0000000000002,19.25,-1.727,34.309000000000005,4.05,0.774,0.9990000000000001,9,270,135,6.794391990149888,7.8,1.0056080098501115,12.892410382693736,9.999999999990013,9.999999999999265,9.999999999942858,-10,9.99999999996795,-10,-9.999999999,-9.999999999,-10,-10,-10
113.2,28.35,203.50000000000003,1477.2418559881726,17.07281495955509,1.7504531598870507,36.99300000000001,5.720000000000001,2.1565043202238723,2.2668076374610178,20.981052128857513,495.00000000000006,0,15.792014937979829,19.74,3.9479850620201695,19.99992432634331,9.99999999999461,5.517275427726219,0.4283232914980033,3.5771100522765495,9.999999999970283,9.9999999998077,8.914359606816058,-5.941591806,4.9052606442630395,9.999999999997792,0
119.08,31.58,103.45861736050063,1014.1681907281987,18.351393916306048,0.167744350039217,8.328889931290531,4.527753733069396,3.2569832737774354,2.103581720560191,0,0,0,4.104070326050126,5.13,1.0259296739498742,19.998629121829907,-2.397530792,-0.376405626,9.234487597004836,4.840218771485489,3.3361033658460855,0.6167496237506499,1.7807273054892012,-1.701788759,0,0,0
120.09,30.14,15,1579,17.3,5.8,29.6,3.89,1.5,1.71,20,300,0,4.28,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0
139.34,35.8,34.2,746.1,17.6,10.79596102994334,36.963,3.267,9.9,1.0584,15.193035583386818,0,357.3,11.504001655245926,14.38,2.875998344754075,19.99998848924948,-10,-10,9.99999999993751,0.8026239957286359,-10,-10,-10,-9.999999999,1.2869038892368743,0,-10
119.46,31.14,34.2,1151.1585991769837,14.129999999999999,5.291,34.26527715600296,4.577873914847801,1.429548138258915,1.8728732092338227,20.400782145518683,0,0,7.376000529833664,9.22,1.8439994701663363,19.999994253430977,-10,-2.195531081,-10,9.999999999792117,-4.045709448,-1.551098605,3.5904448011104844,8.887977280519463,2.003910727583395,0,0
139.37,35.4,55,1561.8,15.2,6.2,24.9,6.1,2.5,3.3,10,189,0,73.2,73.2,0,0,0,0,0,0,0,0,0,0,0,0,0
113.2,28.35,185,1400,17,1.69,33.63,5.2,1.98,2.41,0,0,0,2.23,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0
110.43,32.07,441,890,14.6,-2.1,28.08,5,1.5,1.36,0,0,0,1.9,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0
113.2,28.35,87,1473,17.6,2.4,29.33,4.13,0.69,0.918,10,345,105,5.74,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0
119.57,22.22,50.6,1499.8405218623898,23.60756706705937,2.3400000000000003,28.9158084683405,4.552792082417996,1.044,1.0287,4.5,92.42669883310042,121.5,2.536001963846214,3.17,0.6339980361537858,19.999938049015327,9.999999999978264,5.1781572133509535,-9.201665127,-10,-8.320201432,-5.54373273,-9.999999999,-9.999999999,-10,2.696332036775245,-10
113.2,28.35,78.3,1411.3000000000002,19.14,0.47700000000000004,31.289464632428906,3.9595408497403763,0.621,0.909864099774437,9,363.6921563889827,94.5,7.136000769387189,8.92,1.7839992306128112,19.999991374583086,-10,9.999999999999234,9.999999999942542,-9.999999998,2.9258705014012563,-4.1273402,-9.999999999,-0.886263641,-10,5.418016344631099,-10
110.43,32.07,440,914,14.2,-2.63,28.81,5.4,1.38,1.29,0,0,0,4.26,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0
119.46,31.14,38,1177,15.7,3.95,31.93,4.65,1.38,1.72,20,300,0,23.85,23.85,0,0,0,0,0,0,0,0,0,0,0,0,0
110.43,32.07,435.70483582792946,884.4000000000001,13.41,-3.454,24.714000000000002,5.5,1.35,1.4960000000000002,11,495.00000000000006,0,16.880031195035805,21.1,4.219968804964196,19.999852156228417,-1.200717499,9.999999999998767,-10,-10,-10,10,-9.999999999,9.999999999264714,10,9.999999999997792,0
119.03,31.21,93.50000000000001,1067.7634690153347,17.276837742306103,-12.067,40.3729898109864,5.16003468266378,1.32,1.22148,18.20742426194341,72,0,3.0720006415543057,3.84,0.7679993584456941,19.99998329285662,9.999999999988251,-7.712751165,8.659356869795243,-10,3.8667090583548567,-0.768563795,9.999999999166675,-9.999999999,-8.96287869,-10,0
113.2,28.35,115.50000000000001,1654.2,19.470000000000002,1.0159337666669725,28.746000000000002,3.9772222063565295,0.6930000000000001,1.0802,9,310.5,94.5,7.184000039163687,8.98,1.7959999608363137,19.99999956387877,9.99999999999049,-10,9.999999999943523,-5.932058641,-10,-4.393696962,-9.999999999,9.999999998981677,-10,-10,-10
119.46,31.14,38,1177,15.7,4.81,35.71,4.65,1.38,1.72,20,300,0,30.76,30.76,0,0,0,0,0,0,0,0,0,0,0,0,0
119.46,31.14,38,1711,17.5,5.6,45.69,4.72,1.42,1.73,10,300,0,32.6,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0
113.2,28.35,94.5,1660.9421529183496,19.14,0.48600000000000004,28.91585704804573,4.10798936563852,0.781,0.9281390298487872,11,108,94.5,4.688008083982081,5.86,1.1719919160179195,19.999862048087362,-10,-3.769284304,9.999999999942542,-9.999999998,-9.183866055,-1.250255634,9.999999998591559,-1.991654715,10,-10,-10
119.57,22.22,46.99297587354671,1283.4,27.73144741836111,6.490809876303765,34.87257940579283,4.725698212512945,0.30921617876749335,3.3652977174158347,4.670270577399789,101.25,0,1.2640002520352347,1.58,0.3159997479647654,19.999984048402872,2.158643203357724,-10,6.659413147517119,-6.06642726,6.481158490950674,-2.562923453,3.0720595881404353,-8.799519853,-6.594588452,-10,0
139.37,35.4,55,1561.8,15.2,6.2,24.9,6.1,2.5,3.3,0,0,0,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
110.43,32.07,396.90000000000003,979.0000000000001,16.060000000000002,-2.31,30.888,4.627928320363922,1.35,1.4960000000000002,9,405,0,11.520000098655814,14.4,2.8799999013441866,19.999999314890186,-10,9.99999999999889,9.999999999931525,-10,9.999999999964402,-7.441433593,-9.999999999,9.999999999264714,-10,-10,0
139.34,35.8,36.99268751606232,814.8181385944254,16.74325182035525,11.067507781632202,41.21220641823908,3.681870059141935,11.031191265442718,1.1759444733435633,0,0,0,0.7200108256203093,0.9,0.17998917437969075,19.998797153298973,-2.650822326,-1.710719108,4.645323877191287,3.3380745250127233,0.3462537575815211,1.4289272490497538,0.28355695856758784,-0.004721654,0,0,0
113.2,28.35,105,1726,17.4,0.54,31.84,4.16,0.77,0.982,10,345,105,5.74,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0
120.09,30.14,16.5,1421.1000000000001,18.72271039388518,6.38,32.56,3.087,1.8,1.917,19.545089377390845,540,0,9.424010302834747,11.78,2.3559896971652527,19.999912539603166,9.999999999933333,-10,8.223759502178932,9.999999999827587,9.999999999966219,-10,-9.999999999,-10,-2.274553113,-10,0
110.43,32.07,396,893.9049365864889,15.620000000000001,-2.893,25.929,4.86,1.299696930113471,1.180532959680251,10.506721670872015,405,0,12.30400083699511,15.38,3.075999163004891,19.999994557899157,-10,-2.198584619,9.99999999992959,-10,-10,-10,-5.819063035,-8.485817078,5.0672167086694735,-10,0
110.43,32.07,441,804,14.9,-3.14,27.46,5,1.5,1.36,10,0,450,32.7,32.7,0,0,0,0,0,0,0,0,0,0,0,0,0
110.43,32.07,448.4637145994521,931.833813518362,12.78,-2.893,27.54048132177729,4.987828966664491,1.4824460333108591,1.3751295575544669,10.122667573551631,0,495.00000000000006,22.32800074779535,27.91,5.58199925220465,19.999997320690255,1.923571499875038,1.9511830982888494,-10,-10,-4.406520924,-0.243420667,-1.824766006,1.1124674671584043,1.2266757355040425,0,9.999999999997792
113.2,28.35,105,1838,17.7,1.08,31.94,4.16,0.71,0.947,10,345,105,15.4,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0
110.43,32.07,440,914,14.2,-2.63,28.81,5,1.51,1.36,0,0,0,1.82,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0
119.14,31.97,21,1064,16.6,0.43,36.64,4.61,3.19,2.14,10,450,0,33.9,33.9,0,0,0,0,0,0,0,0,0,0,0,0,0
113.19,28.32,90.9,1682.2240110488078,19.25,3.8940000000000006,30.375,3.789,0.4266361093164951,0.7956,11,290.87984747452174,0,4.22400067868297,5.28,1.0559993213170307,19.999987146155885,-10,-2.082420777,9.999999999942858,9.999999999717529,-10,-10,6.659027327459011,-9.999999999,10,-3.040050842,0
110.43,32.07,396,887.5748807301786,15.620000000000001,-2.893,31.691000000000003,4.5,1.359,1.2240000000000002,9,437.19813249407343,0,11.360025678552468,14.2,2.8399743214475315,19.999819165123462,-10,-2.891150905,9.99999999992959,-10,9.999999999965304,-10,-9.999999999,-9.999999999,-10,-2.844859446,0
119.14,31.97,95.4,1079.4997607786759,17.82,0.11000000000000001,35.783,4.205056408036016,3.5200000000000005,1.958006715605009,0,0,0,0.9440000340878916,1.18,0.23599996591210837,19.999997111195626,-10,7.306139242412381,9.999999999938279,9.99999999000001,9.999999999969258,-6.554302043,9.999999999687509,-8.504359083,0,0,0
119.03,31.21,88.77000000000001,1242.703902797205,17.490000000000002,-12.067,42.757,4.953089899309684,0.63,0.8493100000000001,18,88,0,1.8560023267196204,2.32,0.46399767328037944,19.999899710361184,9.999999999987617,7.407424615142406,9.999999999937117,-10,9.999999999974275,-4.748271167,-9.999999999,9.999999998704844,-10,9.9999999999875,0
