longitude,latitude,Altitude(m),Precipitation(mm),Average Temperature (¡ãC),pH,TN(g/kg-1),AP (mg/kg-1),AK(mg/kg-1),SOC(%),Large-leaved variety,Medium-leaved variety,small-leaved variety,Years of planting,Replicates,mineral fertilizer,organic fertilizer,controlled-released fertilizer,mix fertilizer,N quantity(kg/y/hm2),P2O5 quantity(kg/y/hm2),K2O quantity(kg/y/hm2),organic fertilizer quantity(kg`y/hm2),optimized_target,original_target,improvement
119.38,26.68,748.9581157693332,1741.6349972110788,19.147650393289222,3.66,1.2397566008082883,513.0715966289736,185.85664583476344,2.8330273592012105,0,1,0,2.773621056144894,3.6141234338090387,0,1,0,0,242.64608682698832,162.3033820118836,303.9723518679858,14634.080718133615,634.1718403869116,366.33,267.84184038691166
101.62,22.62,858.5154608651274,2000,22.8,5.646852418851219,10.188544203252572,409.78498912978523,237.07457804456845,2.292011012406159,1,0,0,24.086380373213327,3.636738073464193,1,0,0,0,700,244.7716626454928,76.00393101605958,15664.797495523162,694.6428512303389,554.74,139.9028512303389
119.38,28.58,1098.8944783727864,1740.54001752239,15.45344972252942,5.694751122744171,0.6541588009265332,557.901422779455,248.03197524974235,4.104434359488392,0,1,0,11.984314874709781,3.5993537321834244,1,0,0,0,698.3766390073142,343.4100190717016,124.36914794868511,15644.851827575676,712.8782762192853,129.72,583.1582762192853
118,25.01,951.8176254002362,1426.4479376280492,22.05851716545959,4.804905738608191,2.7814863770472553,14.4,182.78252670952875,3.8957840926198237,0,1,0,21.90045863344356,3.35837267192472,1,0,0,0,341.1762974879801,217.40624354630748,74.6121163645124,12495.550495410824,707.6524630919104,352.23,355.42246309191034
88.24,26.88,911.9628204940284,1809.647371518643,19.599747771132147,4.521583138929937,0.874237621205562,14.4,235.0255202286294,2.3247645748179773,1,0,0,22.72848364515544,3.29167375264716,1,0,0,0,697.1373032766508,217.08315701929027,17.64250757180006,12358.84564323458,886.5064190963893,119.02,767.4864190963893
119.17,35.3,1363,1787.270454612883,16.998658388610774,4.616745466614267,12.6,902.8069298141603,246.43584893004092,4.142563908990203,0,1,0,25,3.827467533762991,0,0,1,0,636.4970742469177,335.638339299263,164.1808645449258,12520.649458524242,758.2471941173438,232.81,525.4371941173438
118,25.01,959.9923305173168,2000,15.528873053639794,4.6051315321809,8.855329154641586,14.4,249.15044096224497,3.931925198203605,0,1,0,24.654862400063795,3.490340334638123,1,0,0,0,333.01576593012044,304.12702157707133,0,5876.804297728289,726.3420436094814,291.55,434.79204360948137
120.68,29.93,1164.677252145161,1451.7728983111328,17.827866203593402,3.710356955094694,0.74752312478525,155.50812504791446,182.88727778408344,4.2385415132210404,0,1,0,19.814642051961915,3.685145685689529,1,0,0,0,243.41929294733382,174.10850980246937,76.01084893544262,19094.013875454584,743.257396147991,154.69,588.5673961479911
119.41,35.45,899.8048601952848,1729.952802566488,15.285635999460517,5.389221376094949,0.9578623931740193,660.7580680528729,249.88379452186896,3.91454610632905,0,1,0,22.5508051145672,3.9700179983231734,1,0,0,0,414.39173103750585,241.6691581925212,92.72384773159332,18267.281104616537,763.759730726014,274.53,489.22973072601405
113.78,23.16,0,1607.186093609325,22.60123303165503,5.7,0.20161812833559356,46.024851809773594,130.05309394766977,0.5291087391552348,1,0,0,3.679429900849752,3.1245225315983354,1,0,0,0,151.72964274946634,140.66005076565037,137.5504015074253,0,784.3730190851961,754,30.37301908519612
117.88,25.3,853.2923521658518,1790.4730173651606,22.8,5.5939689289076515,0.9697661813415128,605.9517611068919,287.81480553240095,3.6207988098775643,0,1,0,25,3.511888044453018,1,0,0,0,622.671003622382,410.2958567120276,75.22103321561475,11964.31806385317,682.4532749950596,150,532.4532749950596
116,28.37,500.0319120238796,1780.5960458801608,18.235649554363206,5.68620847561614,0.9730759392551636,682.7739972999505,233.40882172684448,4.98815418546236,0,1,0,24.407163782186313,3.773796604259401,1,0,0,0,431.45666347529703,203.26014647433323,164.28375050713356,14726.214800145206,659.0333250841693,489.33,169.7033250841693
119.38,28.58,744.7404327810908,1766.6353319395123,14.967363179340698,5.7,0.4038738554464717,524.9804009393093,151.29448141639241,4.17084488691474,0,1,0,22.827666969275974,3.6796001688824975,1,0,0,0,334.19907113844727,188.72488275974956,137.826371835801,15509.234850871788,738.8163954004093,147.75,591.0663954004093
106.79,22.33,966.8011593093324,1746.424030528679,15.371296153423389,5.253774421754773,0.5671772348718702,463.47441800621544,253.25459027477848,4.256240829677332,0,1,0,22.968640197408323,3.6992155604532244,1,0,0,0,62.05863581821163,333.35145207414337,137.69496354919,15696.654999455925,765.9643864177021,245.88,520.0843864177021
113.78,23.16,860.7161730027163,1912.0060768802489,22.8,4.433661684770439,0.6107680299361921,14.4,215.58777429488427,2.440253152783967,1,0,0,11.493972266192548,3.507259586115469,1,0,0,0,615.9981031268759,260.96566163881926,0,11856.183171629495,816.7173474649406,604.33,212.3873474649406
119.57,27.21,974.4933833667869,1787.2342974364008,16.830213113526106,5.7,0.6030212132402915,530.5328818664086,251.46939142369814,5.314437358251064,0,1,0,24.887353164315723,3.9972265375664997,1,0,0,0,633.2686114412577,236.38566583384437,164.0619985178978,9542.496043325546,735.1977562941848,350.18,385.01775629418484
120.067,30.22,519.9957474161681,1466.5596557913718,12.6,3.66,0.3772685209662188,461.34515499767025,169.23425953233638,2.838796070756754,0,1,0,19.638002777301587,3,1,0,0,0,341.28263977228636,156.21055848335394,128.53697064922397,5005.082603425416,736.1610309354395,296.33,439.8310309354395
106.79,22.33,897.6407827349268,1710.8638758425259,12.6,5.350560267962466,0.9819330986677864,336.72045355226317,246.86527821980985,4.108440640695851,0,1,0,25,3.5630458652273687,1,0,0,0,203.11315676197955,219.49237684000548,131.84438446566287,10812.72396197329,770.4763399471315,267.18,503.29633994713146
116.78,23.81,1100.01075246411,1742.4350066635466,15.299732886900186,4.868713454661556,0.17,518.4069828492053,281.3219437344802,3.219398437565789,0,1,0,25,3.4087105425562023,1,0,0,0,336.14477275149926,325.1712568642809,369.46622396800785,9806.240238327995,706.0091567862867,217.52,488.4891567862867
119.36,28.56,973.308822263516,1750.1512170632536,17.90661114604551,5.564049509300627,10.786521676012361,459.3102339725991,262.21928941204203,3.7022789031937235,0,1,0,24.69026240479238,3.8798708611282757,1,0,0,0,578.4332182844578,261.39495813912896,163.98209900635868,17515.291269912654,671.0072272831671,188.01,482.99722728316715
118.23,25.44,756.8866959348724,1752.8505288896783,17.946526146263903,4.547404866330398,5.580616121889574,14.4,219.2889188132904,2.801038896930125,1,0,0,8.399596614573948,3.2522425476000043,0,0,0,1,427.6149233208844,137.69957800745863,67.78808182981729,10046.034504776382,769.1498523117625,695.67,73.47985231176256
119.6,27.17,1159.9339662055527,1254.9432891907925,13.413602811920656,4.165851370039051,0.4818951808461627,14.4,169.20520856822824,3.5583771959422283,1,0,0,20.76833152475983,3.5749315653280616,0,0,1,0,382.88241928626053,285.969246661501,130.09449340759852,5188.559290580837,881.5250014500353,344.84,536.6850014500353
119.37,28.57,504.508129919797,1787.5114502821675,22.8,5.7,12.6,229.45090981823523,121.57,4.179680823101208,0,1,0,25,3.612075726408499,1,0,0,0,192.8515093128384,300.64791833762854,164.56548501043227,19499,686.0855556449527,147.75,538.3355556449527
88.24,26.88,1310.022001048545,1301.6702378595455,22.499904533643676,4.665742112199028,0.8364257373799958,14.4,209.8094486668665,2.2675919366140342,1,0,0,20.55659354393546,3.562227678466683,1,0,0,0,683.7680189798206,310.0147262042482,75.86718898866128,16012.661777955369,897.6252838656663,100.49,797.1352838656663
106.18,29.13,1145.0514572926218,1723.5301198168804,22.8,5.7,0.9882522091633322,636.4347687065814,259.79073302027257,4.270740250661226,0,1,0,24.8487203168151,3.8484182267386546,1,0,0,0,88.31568432954512,369.4914423677205,163.97654947358342,16242.599256430016,719.0778657190249,343.96,375.1178657190249
119.36,28.56,815.436070910755,1797.6276777464504,22.251542267189613,3.66,0.5410082544817969,106.79200895059257,257.29100364965745,4.5670202446548975,0,1,0,21.768545238001856,3.5263929073961,1,0,0,0,529.8210581435407,420,74.30519881554714,7230.628899474764,797.4756299807467,90.45,707.0256299807467
119.37,28.57,930.642788929443,1778.545245971729,22.093063595394987,4.476967573610275,12.6,14.4,244.67079859291584,4.259766599908379,0,1,0,23.545765420746772,3.7910761085497238,1,0,0,0,351.2240972632699,420,137.62103073712956,16548.993887553057,710.0654360891408,250.68,459.3854360891408
116,28.37,1000.4458220016975,1703.9911353967927,15.57839313736965,4.743097700751665,0.9869164691999368,209.77520094456267,263.32484462140974,4.797792404118129,0,1,0,25,3.775673851432464,1,0,0,0,77.40086540208293,420,135.88482331946778,5847.804824001761,779.167424934259,439.11,340.05742493425896
119.41,35.45,733.195020600748,2000,22.8,5.7,0.9745222677401059,1009.5,250.51688959887213,5.079410454185324,0,1,0,21.947093936621393,3.5159144866681884,1,0,0,0,294.50965284349303,247.65105319177638,155.98062167955194,19499,657.4441470807174,108.62,548.8241470807174
113.37,23.16,507.77838794420046,1791.143976666298,21.94522223332871,3.674196053245877,0.2527143913800634,831.220642078006,131.33689616661118,4.1891561214499395,0,1,0,13.459477143399514,3.653260429538436,1,0,0,0,293.5902299494104,307.6519013601128,136.760032895222,10035.634137677782,691.5320424787874,299.15,392.3820424787874
116,28.37,39,1721.95,18.81,3.88,1.33,63.52,203.66,2.27,0,1,0,7,3,1,0,0,0,450,97.2,163.8,0,597.33,597.33,0
118.43,26.63,954.4808894637863,1705.7328339499122,13.093209782525253,4.627216479522155,0.4135525365323332,1009.5,158.87209683951363,3.070463311400065,0,1,0,25,3.577109352106375,1,0,0,0,700,0,164.58661709505353,11978.560866983258,746.2746650699203,143.35,602.9246650699203
119.37,28.57,993.8129245057538,1798.5493189349509,22.8,5.7,0.7017773748776795,14.4,251.51501889783697,5.51,0,1,0,25,3.2485420846586055,1,0,0,0,700,212.51858446552325,145.77935373607076,19499,788.8757942485237,90.45,698.4257942485236
88.24,26.88,550.2040818305628,1476.3549024086162,12.663783018000439,3.695473463485822,0.23877841215983056,221.1907907139482,154.26347820964364,3.2108576896947034,1,0,0,7.398246024117963,3.030019696430092,1,0,0,0,397.6165690269884,155.66382475948205,15.389926144086893,4313.363822455728,749.3246254395102,119.58,629.7446254395102
120.68,29.93,923.3115159177593,2000,16.480251247209207,5.6731072739655355,0.559682162166849,14.4,248.8885182665397,2.5342631879806152,0,1,0,25,4,1,0,0,0,700,202.91581030634066,164.85532840383823,19496.157450391434,850.8664154889889,221.24,629.6264154889889
116,28.37,1003.7464936599724,1773.1679904988619,16.658816602263926,5.7,0.9582005500786303,1009.5,251.50311334529718,3.230315950824638,0,1,0,25,3.9092401971708712,1,0,0,0,700,244.59636279199302,159.05827222954474,9560.303863243998,736.7665906223415,305.78,430.9865906223415
119.17,35.3,1124.6235888554982,1789.9480114476964,18.025790016897336,4.4551974680540445,6.220919974428098,14.4,243.59249885930342,2.683529816164097,0,1,0,25,3.653792739684528,1,0,0,0,700,290.08048971765345,164.47483158114733,16348.458622651673,738.4561090155701,236.18,502.27610901557006
106.98,25.74,959.568909681929,1273.1842715884459,15.55160086984779,4.865498883697006,0.9663942030665371,629.3900717645465,247.15300676554213,4.24521998842869,0,1,0,25,3.829944556237463,1,0,0,0,391.14015379602836,143.34533195812702,124.5823905101145,18704.211721769232,767.3493127145039,353.78,413.5693127145039
119.17,35.3,927.2575707326586,1775.4485129433776,19.346114263290435,5.549043284154256,8.501825978679278,501.88802375616854,245.59110295344354,4.043686404881872,0,1,0,23.086878945686642,3.6937856320234093,0,1,0,0,538.005456456566,203.02520099304832,164.0052781418474,10684.331956036556,644.6957727854344,216.95,427.74577278543444
118,25.01,906.4226600803058,2000,19.538428243690234,4.437382773040934,5.868586815558473,14.4,241.66181342858079,4.049763345366269,0,1,0,25,3.3003108871087186,1,0,0,0,630.8662313233668,259.78839451778657,110.29352596614962,19499,741.5732631024683,317.77,423.80326310246835
119.38,28.58,818.7866637632684,1780.0929545756176,22.27117188115853,5.014668737914873,0.20965054552481385,440.57883379502186,153.92646561193268,3.908644884504953,0,1,0,25,3.81067606905316,1,0,0,0,700,271.71253716468027,90.25150688082402,13347.909664316605,675.3573984179434,87.79,587.5673984179434
113.37,23.16,1093.267457288074,1995.6154626855405,17.765501424985306,4.801628346741253,10.591367849707245,14.4,251.6588399990476,4.027151221138588,0,1,0,22.329036194178634,3.911289706306717,1,0,0,0,617.5516456795448,248.73213374594596,74.48454093643633,16986.750779493887,738.3267988002365,376.39,361.9367988002365
113.33,28.46,1119.0703487549874,1754.6044722861063,15.320113614767909,4.4187450539208,0.42400117579734997,736.1752147883418,170.2497374237153,3.116373932676221,0,1,0,24.3695685514157,3.158936678996749,1,0,0,0,335.42865194798134,289.4991358305178,113.11196812042411,11106.947408609154,718.4211924672526,124.41,594.0111924672526
106.79,22.33,1158.6605093963003,1278.6885499287253,20.51561122588076,3.66,0.9129501063949436,785.130206647067,246.57223768684167,4.107793096056075,0,1,0,22.097598254533064,3.676559261926532,1,0,0,0,523.0622033245903,161.96688908033957,74.29689136935144,19499,780.7190078619459,196.08,584.6390078619459
120.68,29.93,1115.1740851798027,1737.8898949787167,12.718035179859582,5.7,0.6120780507175897,14.4,165.4923278800523,4.968565907328791,0,1,0,25,3.7884340871363458,1,0,0,0,700,178.88642872386473,133.72505870396085,17984.995781505448,812.2198744225317,69.93,742.2898744225317
118.43,26.63,891.9439875268541,1779.7669581703742,20.20243451982898,4.481883199105429,0.7323425818529077,14.4,248.73081059867852,2.3969794493214556,0,1,0,24.36728050900835,3.8878052425966807,0,1,0,0,693.9815857727681,240.4412966540524,104.21271283516009,11491.92402885755,801.6451287940981,168.48,633.1651287940981
119.17,35.3,1363,1271.8063156847327,17.770814375960303,3.66,0.6430463312992091,14.4,249.06014913322383,2.676061529704917,0,1,0,25,3.9902450767989235,1,0,0,0,695.955034208653,0,299.06134030502506,18786.80825707013,797.6761317003732,238.9,558.7761317003732
120.68,29.93,1068.9492350500836,1769.4018786495672,22.797533067338996,5.7,0.5684314691588359,370.54799339913774,248.41178817939124,4.171128845891764,0,1,0,14.083602792997125,4,1,0,0,0,202.75521020823732,207.1446348339786,163.8991861769528,12398.659847915766,656.2467391064033,93.48,562.7667391064033
119.38,28.58,1027.4691062905679,1729.6818580898898,14.741775426941942,5.335944355633962,0.7721685162990218,14.4,251.62325655798134,4.119767882839488,0,1,0,25,3.8794514209916717,1,0,0,0,579.9649338613157,313.79627466320903,164.43168912455286,19258.824919333718,867.430244218219,250.68,616.750244218219
119.38,26.68,606.9968292779347,1994.636857785536,22.18345009936865,3.66,0.7689623376451707,451.81134209915353,173.20440289208122,4.171493693599594,0,1,0,23.50015169296674,3.7979974096908156,1,0,0,0,615.4110622771035,201.15764623543853,122.27548637712697,9908.897891753113,741.2691090334673,153.93,587.3391090334674
120.52,29.74,997.8726455190218,1775.0957778127643,22.525061668856722,5.7,0.41775362662627735,353.0868534198355,250.92826591336726,3.980653349657599,0,1,0,24.769534125094427,3.862091394198678,1,0,0,0,307.3809757802353,195.53514605095603,231.31870813183832,18249.956808283896,679.2139268647165,584.06,95.1539268647166
113.78,23.16,0,1607.1620038333426,22.8,5.7,0.19124720517694668,14.4,174.74721906545253,0.31013848596498694,1,0,0,2.653932819612721,3.5802598328717035,1,0,0,0,450.5476587181108,272.39543784675743,31.624382573459123,10069.767938314633,805.9675221254361,631.27,174.69752212543608
116,28.37,1132.73712670734,1704.9190406847501,16.603993045486295,4.716220208414767,0.9737492546678406,952.2803667913158,258.72861089397975,4.0233476579690395,0,1,0,24.280212347195796,3.649997783545142,1,0,0,0,407.6359637682044,174.7068111781092,267.125307642449,16187.856045687526,694.0128419214486,366.44,327.5728419214486
120.52,29.74,896.735384897606,1797.050992206348,19.55059549303306,4.638264904242968,6.544770799293905,746.8862930166076,263.17828546328724,4.094510149433784,0,1,0,22.282351765097268,3.8175249700669425,1,0,0,0,687.769814164476,305.4252007485606,76.00018809166383,10141.978042350258,635.1927412868979,433.91,201.28274128689787
120.067,30.22,1088.2824272186517,1733.8106562944477,15.018235580118061,5.019248875179163,0.76563043256347,565.3446206081242,251.5957883377801,3.3999951380256555,0,1,0,12.57714939442265,3.602215617860193,0,1,0,0,659.5448817287455,187.6486606652218,137.76756610738516,15507.07194911373,686.3189632600004,216.2,470.1189632600004
119.37,28.57,888.2014859253117,1720.7452555565476,19.450399933842466,4.493919550161872,0.7016757516261959,14.4,249.84867120903672,4.077268998386545,0,1,0,24.259393796353823,3.8127638678432434,1,0,0,0,584.5953069952498,198.34020565620537,418.4674591253311,10621.263511759911,762.546279501105,129.72,632.826279501105
103.5,29.67,1042.9978564486814,1729.1801679242228,12.611502827848467,3.7696760761473835,0.19128122299309883,14.4,152.89185882193976,3.150823754484736,0,1,0,12.786244610128811,3.1428762363556295,1,0,0,0,338.18254971606126,23.537522451517226,235.688632014042,14024.386375593938,752.0887570119826,131.54,620.5487570119826
100.98,22.787,737.6249097919563,1854.143077278294,22.8,5.7,0.7380345065098763,14.4,288,2.297763153812589,1,0,0,15.667084226103908,3.9509602440241065,0,1,0,0,700,213.8135470475908,76.20380359295882,10391.451560017127,774.1022122172054,255.21,518.8922122172054
116,28.37,929.0756077105249,1717.8892987297315,15.474322839155393,4.4352628752272,0.19777160213934042,14.4,246.96002947607366,4.582528168986613,0,1,0,17.355684056180333,3.449545742853246,1,0,0,0,339.4199627410687,233.45913448994818,138.7940044730242,7761.956436460249,735.8591493989181,401.78,334.07914939891816
119.37,28.57,1096.4580339429501,1527.0570501324337,17.820150735145404,3.66,0.5891501540511791,161.18284479329895,247.15169546043032,4.200668426231211,0,1,0,10.813828307534491,3.057444081886769,1,0,0,0,333.3086113037876,97.081559032017,126.28537176196053,13540.240752551465,723.6060408268476,188.01,535.5960408268476
119.37,28.57,522.7537574856165,1780.7485501509857,19.434440066406147,3.780372008004583,0.5406001814837521,747.860350105001,172.93006160063172,2.7741379401705037,0,1,0,24.16032779379699,3.7158126985382385,1,0,0,0,363.7006142781256,135.24825348958714,276.14107606099685,19276.310066929615,736.10596342912,237.43,498.67596342912003
121.59,29.67,994.3315072155748,1974.8796697952216,15.425591401293321,5.698177192084285,0.4311372999049726,597.129982614458,284.7780924048559,4.233560303522712,0,1,0,25,3.5999993943615727,0,0,0,1,82.79239292846192,7.318751703172387,420,14260.971736712021,639.8848199327314,130.29,509.5948199327314
119.38,28.58,1273.4603700281878,1246.2695873531122,13.054126813285427,3.66178570220291,0.1906068850587051,14.4,169.14204427524007,2.643917828675614,0,1,0,25,3.1348563594701635,1,0,0,0,189.16390682330072,12.504840268783097,146.54777677381037,3764.1904432099213,817.3031105935421,97.35,719.9531105935421
120.68,29.93,762.8743944035255,1776.0921131708023,19.24557001015522,3.66,0.9717442708785907,730.2168619133307,246.21170024783186,4.294374584794774,0,1,0,25,3.9545170362645576,1,0,0,0,616.5612241322118,236.8003841589408,405.72230434116017,16715.878853255574,786.7121041988162,148.32,638.3921041988162
109.72,32.32,583.7336490140335,1769.5030807601468,22.306085830315016,4.793832252763684,9.435883256551438,1009.5,121.57,4.7306465148584165,0,1,0,25,3.6543738294724157,1,0,0,0,700,317.6989158402696,164.48037716703865,19144.497755675326,656.4206902081544,126.6,529.8206902081544
119.17,35.3,955.6925774044149,1729.7390582018368,17.723200767665237,4.785262024798596,0.8796206797332471,14.4,247.13066606354795,4.298060638527208,0,1,0,22.378182298333446,4,0,0,0,1,700,126.04922621758976,74.51361432222807,12198.314110174106,768.113556872586,270.65,497.46355687258597
118,25.01,1128.1177760804453,2000,22.8,5.7,0.697161507097539,14.4,246.73648647297193,3.551725671106101,0,1,0,25,4,1,0,0,0,700,419.85176461527277,141.42691240213406,15461.876617852957,799.0553837273811,391.53,407.52538372738115
106.79,22.33,1238.3435889285322,1722.939529919385,15.322055131600145,4.878072732765682,0.4395077271380127,400.9511440863393,250.97381281796532,4.246423897224006,0,1,0,23.048459500839627,3.279992243616229,1,0,0,0,341.8390588055664,271.22075273592094,262.78331688335584,17505.66286049998,755.7110571414132,213.84,541.8710571414132
116.78,23.81,1049.6791573607472,1748.1345411823465,17.898274041438047,5.7,10.496080855664104,818.2450910420341,248.4267412400126,4.017435423454982,0,1,0,25,3.6167983087410644,1,0,0,0,587.4946297011818,264.82904016569876,163.77983575290767,17162.458987913666,672.7315301636709,280.96,391.7715301636709
119.96,27.37,955.9637892376517,1750.825910737816,13.085252651257017,4.3860189550917985,0.8788673289656821,14.4,212.57478953621813,3.6387666001874113,1,0,0,25,4,1,0,0,0,700,197.4190332540909,100.81728080626078,9460.543015009516,958.1576288328991,173.33,784.8276288328991
118.43,26.63,898.2796040421297,1764.4046272989183,17.774944544563102,4.69355398370274,8.556622224048507,660.2768815566072,249.89491660953536,3.9124889274253287,0,1,0,21.863883010346818,3.6249307272129525,0,1,0,0,624.1209093484898,377.0743892978522,76.82462759482515,19499,677.808939789774,164.38,513.428939789774
88.24,26.88,1341.1855319334184,1719.6051638817682,19.904348409027236,4.413861765747161,9.862024167328983,14.4,202.47843589348034,2.4414868594341064,1,0,0,25,3.88658070369526,1,0,0,0,700,98.0640419955814,256.03183542403485,19499,790.0039525756937,92.07,697.9339525756936
119.68,27.63,922.4690059089598,1980.4797791745048,15.801584231550422,4.885080449527033,0.9833798353781111,431.15150159888225,261.90032269898296,2.5495900081883853,0,1,0,24.596216910877605,4,1,0,0,0,696.9646514880235,186.71357147952642,100.66391882499376,15736.611054075536,756.809891593135,260.91,495.899891593135
119.42,35.62,767.2869276475601,1705.458119704817,14.97726881302026,5.7,0.954564607006671,819.57339374555,245.94213205558125,3.9705911769674205,0,1,0,25,3.8541143896432564,1,0,0,0,188.12992602345895,161.86722138378622,137.0712508680152,13811.25280145175,770.5891406646899,322.33,448.25914066468994
119.38,28.58,1129.8792028831388,1770.777394748486,17.964005217250392,4.831702595919089,8.078378388434697,636.8182624614607,241.96099252190277,4.099734595416586,0,1,0,24.017524716658407,3.665655691248273,1,0,0,0,700,213.9653010251156,164.88461201812927,12110.332915451825,655.5546519023025,276.9,378.6546519023025
118.23,25.44,680,1574.63,18.49,4.4,1.22,14.4,196,2.15,1,0,0,7,3,0,0,0,1,270,120,75,3000,772.33,772.33,0
106.79,22.33,919.84875869048,1980.648140855439,15.68394047009005,4.882364104520806,0.9597991208049208,1009.5,248.3892501944891,2.8706703774247497,0,1,0,25,3.5815251975198126,1,0,0,0,700,233.8749846926923,242.01027513287644,19115.252265340245,712.3156152658019,256.62,455.69561526580185
118.23,25.44,680,1574.63,18.49,4.4,1.22,14.4,196,2.15,1,0,0,7,3,0,0,0,1,351,120,75,3000,804.33,804.33,0
118,25.01,1021.6864189679567,1374.7044004015536,13.337646355773156,3.766752134606842,0.9614207787823116,489.5012409787594,250.42750063201575,4.143420421271608,0,1,0,24.44908962330116,3.5608978299619976,0,0,0,1,358.7886477883158,0,420,4501.928363330313,672.8122395955075,247.72,425.0922395955075
117.88,25.3,931.5074221297797,2000,19.343557409987486,5.4235863960777015,12.6,14.4,262.2729970099081,2.3283163487816734,0,1,0,25,4,0,0,0,1,700,420,163.60125014113214,19499,709.827612794729,158.86,550.967612794729
118.03,25.4,784.3214625951395,1759.7125493509602,12.6,5.573542782474573,0.9828344536817236,698.0950928490968,248.10414819911244,3.938667854570169,0,1,0,25,3.539222442767197,1,0,0,0,700,325.4057253075942,125.93383623424607,10962.663459634327,776.9684146052665,436.2,340.7684146052665
120.68,29.93,952.7895637559569,1764.265657900649,18.220115247213556,3.7967901467724507,1.2314474860358076,233.77386051991417,259.863637298669,3.164289029284666,0,1,0,13.908589410203598,3.5459222365605068,1,0,0,0,507.84897498434697,130.68467956020268,238.05336768746866,5399.92274531597,695.8218290812335,244.6,451.2218290812335
100.34,22.18,1189.7529387385189,1988.7291454875174,12.6,3.66,0.17,14.4,152.0713665169146,3.324055202183151,1,0,0,8.195787761597067,3.058467289384273,0,0,0,1,611.851827374017,139.46339765287308,0,19436.076297537064,879.9748437579799,221.23,658.7448437579799
106.98,25.74,1313.149945449798,2000,15.43271200941561,4.400069775911215,12.329755540716024,14.4,259.69210684386934,5.204140567697685,0,1,0,24.673188432528775,4,0,0,1,0,700,266.9029942127152,136.35882225588603,19499,821.2226703266506,444.13,377.0926703266506
119.6,27.17,1273.5769984508804,1807.884993522882,12.6,4.726984860219909,12.6,14.4,210.92370194951144,2.392493566037622,1,0,0,23.552926164303635,3.3517539959396494,1,0,0,0,700,238.9359203680277,14.765385748543977,18560.773563257557,828.6782567131067,351.51,477.16825671310676
